CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12347.0,11,1,711.79,1,At-Risk / Occasional
12348.0,1,1,892.8,0,At-Risk / Occasional
12370.0,1,2,1868.02,0,At-Risk / Occasional
12386.0,10,1,258.9,1,At-Risk / Occasional
12395.0,1,2,679.92,0,At-Risk / Occasional
12417.0,1,1,291.34,0,At-Risk / Occasional
12427.0,15,1,303.5,1,At-Risk / Occasional
12429.0,9,1,1281.5,1,At-Risk / Occasional
12431.0,1,2,773.95,0,At-Risk / Occasional
12433.0,10,2,3787.12,1,At-Risk / Occasional
12441.0,10,1,173.55,1,At-Risk / Occasional
12471.0,1,4,3874.36,0,At-Risk / Occasional
12472.0,13,1,1631.3,1,At-Risk / Occasional
12476.0,5,1,12.45,0,At-Risk / Occasional
12481.0,9,1,159.38,1,At-Risk / Occasional
12494.0,2,2,62.55,0,At-Risk / Occasional
12540.0,5,1,881.01,0,At-Risk / Occasional
12551.0,1,1,168.0,0,At-Risk / Occasional
12557.0,15,1,620.0,1,At-Risk / Occasional
12567.0,11,2,1942.38,1,At-Risk / Occasional
12577.0,3,1,195.89,0,At-Risk / Occasional
12583.0,17,1,855.86,1,At-Risk / Occasional
12600.0,1,2,274.8,0,At-Risk / Occasional
12621.0,1,2,1383.65,0,At-Risk / Occasional
12647.0,1,4,1193.6,0,At-Risk / Occasional
12662.0,17,1,261.48,1,At-Risk / Occasional
12681.0,11,1,1033.52,1,At-Risk / Occasional
12682.0,9,2,1075.29,1,At-Risk / Occasional
12683.0,9,2,1063.08,1,At-Risk / Occasional
12686.0,15,1,89.14,1,At-Risk / Occasional
12691.0,1,1,180.0,0,At-Risk / Occasional
12705.0,1,1,858.0,0,At-Risk / Occasional
12708.0,12,1,196.44,1,At-Risk / Occasional
12709.0,1,2,1315.69,0,At-Risk / Occasional
12712.0,9,2,470.63,1,At-Risk / Occasional
12720.0,1,2,657.13,0,At-Risk / Occasional
12725.0,15,1,427.8,1,At-Risk / Occasional
12726.0,1,1,170.28,0,At-Risk / Occasional
12731.0,8,1,1071.9,1,At-Risk / Occasional
12738.0,15,1,155.35,1,At-Risk / Occasional
12747.0,5,2,706.27,0,At-Risk / Occasional
12748.0,1,31,4119.24,2,Champions
12753.0,6,1,3590.59,0,At-Risk / Occasional
12755.0,9,1,3794.3999999999996,0,At-Risk / Occasional
12763.0,13,1,320.08,1,At-Risk / Occasional
12766.0,10,1,1149.29,1,At-Risk / Occasional
12779.0,15,1,248.16,1,At-Risk / Occasional
12782.0,1,1,463.5,0,At-Risk / Occasional
12785.0,8,1,311.95,1,At-Risk / Occasional
12791.0,17,1,192.60000000000002,1,At-Risk / Occasional
12793.0,15,1,131.8,1,At-Risk / Occasional
12797.0,9,1,254.03,1,At-Risk / Occasional
12808.0,12,1,129.4,1,At-Risk / Occasional
12826.0,9,1,155.0,1,At-Risk / Occasional
12829.0,4,1,85.75,0,At-Risk / Occasional
12838.0,17,1,390.79,1,At-Risk / Occasional
12839.0,11,1,402.61,1,At-Risk / Occasional
12841.0,13,2,505.99,1,At-Risk / Occasional
12855.0,16,1,38.1,1,At-Risk / Occasional
12867.0,4,1,362.79,0,At-Risk / Occasional
12868.0,17,1,203.3,1,At-Risk / Occasional
12872.0,9,1,378.53000000000003,1,At-Risk / Occasional
12875.0,6,1,293.76000000000005,0,At-Risk / Occasional
12877.0,2,1,150.06,0,At-Risk / Occasional
12913.0,12,1,417.62,1,At-Risk / Occasional
12915.0,16,1,199.65,1,At-Risk / Occasional
12921.0,10,2,687.8000000000001,1,At-Risk / Occasional
12928.0,3,1,392.34000000000003,0,At-Risk / Occasional
12931.0,1,1,144.0,0,At-Risk / Occasional
12942.0,9,1,258.75,1,At-Risk / Occasional
12947.0,17,1,304.04,1,At-Risk / Occasional
12963.0,9,1,365.8,1,At-Risk / Occasional
12967.0,1,2,1660.9,0,At-Risk / Occasional
12971.0,1,4,321.59000000000003,0,At-Risk / Occasional
12980.0,2,1,889.32,0,At-Risk / Occasional
12989.0,8,1,202.5,1,At-Risk / Occasional
13000.0,8,1,201.75,1,At-Risk / Occasional
13004.0,1,1,357.01,0,At-Risk / Occasional
13011.0,16,1,50.550000000000004,1,At-Risk / Occasional
13013.0,15,2,1528.34,1,At-Risk / Occasional
13021.0,2,1,157.35000000000002,0,At-Risk / Occasional
13030.0,12,1,427.74,1,At-Risk / Occasional
13033.0,1,1,190.55,0,At-Risk / Occasional
13034.0,13,1,165.86,1,At-Risk / Occasional
13047.0,17,3,366.63,1,At-Risk / Occasional
13050.0,2,3,930.37,0,At-Risk / Occasional
13065.0,17,1,205.86,1,At-Risk / Occasional
13069.0,5,4,644.12,0,At-Risk / Occasional
13077.0,10,1,313.72,1,At-Risk / Occasional
13078.0,3,2,881.16,0,At-Risk / Occasional
13081.0,15,2,2366.78,1,At-Risk / Occasional
13089.0,2,8,5953.21,0,At-Risk / Occasional
13090.0,9,3,1008.4,1,At-Risk / Occasional
13092.0,3,1,185.45,0,At-Risk / Occasional
13093.0,2,3,3795.5099999999998,0,At-Risk / Occasional
13094.0,12,1,223.68,1,At-Risk / Occasional
13097.0,4,1,304.90000000000003,0,At-Risk / Occasional
13102.0,4,2,673.92,0,At-Risk / Occasional
13108.0,16,1,350.06,1,At-Risk / Occasional
13113.0,10,1,372.96999999999997,1,At-Risk / Occasional
13117.0,9,2,388.15,1,At-Risk / Occasional
13124.0,3,1,1256.32,0,At-Risk / Occasional
13126.0,10,2,223.44,1,At-Risk / Occasional
13138.0,16,1,193.23,1,At-Risk / Occasional
13140.0,10,1,159.51,1,At-Risk / Occasional
13145.0,15,1,295.0,1,At-Risk / Occasional
13148.0,8,1,309.40000000000003,1,At-Risk / Occasional
13155.0,12,1,379.7,1,At-Risk / Occasional
13173.0,11,1,165.94,1,At-Risk / Occasional
13174.0,13,1,1415.97,1,At-Risk / Occasional
13178.0,4,1,710.0,0,At-Risk / Occasional
13198.0,5,1,384.55,0,At-Risk / Occasional
13199.0,2,2,711.8,0,At-Risk / Occasional
13209.0,5,1,318.85,0,At-Risk / Occasional
13211.0,5,1,110.7,0,At-Risk / Occasional
13221.0,3,1,498.16,0,At-Risk / Occasional
13225.0,5,1,1206.72,0,At-Risk / Occasional
13230.0,8,1,93.45,1,At-Risk / Occasional
13238.0,4,1,91.15,0,At-Risk / Occasional
13240.0,9,1,224.07,1,At-Risk / Occasional
13255.0,17,1,225.7,1,At-Risk / Occasional
13267.0,4,2,622.3000000000001,0,At-Risk / Occasional
13269.0,5,2,662.1700000000001,0,At-Risk / Occasional
13270.0,10,1,590.0,1,At-Risk / Occasional
13295.0,3,1,201.20000000000002,0,At-Risk / Occasional
13305.0,16,1,136.2,1,At-Risk / Occasional
13317.0,2,2,238.05,0,At-Risk / Occasional
13319.0,9,2,759.28,1,At-Risk / Occasional
13324.0,4,1,650.1,0,At-Risk / Occasional
13327.0,9,2,745.0,1,At-Risk / Occasional
13329.0,10,1,304.2,1,At-Risk / Occasional
13369.0,9,1,308.28000000000003,1,At-Risk / Occasional
13370.0,15,1,754.87,1,At-Risk / Occasional
13402.0,16,1,308.28000000000003,1,At-Risk / Occasional
13408.0,2,5,3031.2000000000003,0,At-Risk / Occasional
13418.0,3,5,1579.62,0,At-Risk / Occasional
13426.0,3,1,336.98,0,At-Risk / Occasional
13448.0,8,3,829.5400000000001,0,At-Risk / Occasional
13455.0,10,1,692.94,1,At-Risk / Occasional
13458.0,3,1,1185.8600000000001,0,At-Risk / Occasional
13468.0,2,4,911.0,0,At-Risk / Occasional
13488.0,11,1,1381.92,1,At-Risk / Occasional
13491.0,3,2,196.4,0,At-Risk / Occasional
13495.0,3,2,865.4300000000001,0,At-Risk / Occasional
13496.0,3,1,501.01,0,At-Risk / Occasional
13497.0,12,1,153.5,1,At-Risk / Occasional
13506.0,13,1,301.12,1,At-Risk / Occasional
